trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': 0.7141417568142568}",30,23,12.310648460039502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.7112851897869998}",25,3,-33.84056838660272,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.7084400490278518}",25,0,-115.23614842465935,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.7056062888317404}",20,0,-19.408987059110707,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.7027838636764134}",20,0,-59.66334294736007,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6999727282217078}",20,0,-117.81982283110256,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.697172837308821}",20,0,-7.468882545868282,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.6943841459595856}",20,10,7.399784670110673,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.6916066093757474}",25,0,3.772296461816908,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.6888401829382443}",20,0,-23.093313830375422,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.6860848222064914}",25,8,12.65247666505796,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.6833404829176654}",30,0,-53.255587096721214,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.6806071209859947}",20,0,-51.91676213475547,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.6778846925020507}",30,16,-107.08741332126426,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.6751731537320426}",20,11,-46.105754400222786,"{0: 5, 1: 1, 2: 1, 3: 2, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.6724724611171143}",20,7,-55.34440353125514,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.6697825712726458}",20,0,-26.930857662353034,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.6671034409875553}",20,0,-19.886603709896157,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.664435027223605}",30,20,-39.04188926655917,"{0: 6, 1: 2, 2: 0, 3: 2, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.6617772871147106}",20,0,-49.15394338804498,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.6591301779662518}",25,0,-98.33631912629333,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.6564936572543868}",20,0,-48.609215814031614,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.6538676826253692}",30,7,-8.68761961416784,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.6512522118948678}",30,0,-0.6555411375503044,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.6486472030472883}",30,6,-22.382425575922266,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.6460526142350992}",20,0,-71.84677786432228,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.6434684037781587}",20,8,-44.53991985253653,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
