trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
305,False,"{'a': 0.5, 'e': 0.2945087613996437}",35,14,-26.127082183331826,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
306,False,"{'a': 0.5, 'e': 0.29333072635404517}",25,1,-18.251835891098008,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.292157403448629}",25,17,16.10510753040496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.29098877383483446}",20,0,16.17674706041662,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.2898248187394951}",25,13,0.5933509190534489,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.28866551946453717}",25,20,8.91090816275948,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.287510857386679}",20,6,-9.954655169020858,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.28636081395713225}",30,0,14.32673438222075,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
313,False,"{'a': 0.5, 'e': 0.28521537070130376}",20,8,-51.60717773683847,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
314,False,"{'a': 0.5, 'e': 0.2840745092184985}",25,16,20.342685347788755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.28293821118162454}",25,17,11.789934655168086,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.28180645833689805}",20,13,-10.472585360714088,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.2806792325035504}",20,11,15.98390987208261,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.2795565155735362}",20,12,2.9100636634938852,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.2784382895112421}",20,12,-10.567609440987543,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.27732453635319715}",20,0,16.90323133376077,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.2762152382077843}",20,0,-1.8143330194692924,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.2751103772549532}",25,0,-25.22126958530244,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
323,False,"{'a': 0.5, 'e': 0.2740099357459334}",25,3,-8.355555026979342,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
324,False,"{'a': 0.5, 'e': 0.27291389600294963}",25,8,0.17111864917623265,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.2718222404189379}",30,13,29.12988053514763,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.2707349514572621}",25,10,-38.446751023665925,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
